
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  UDP    0.0.0.0:53777          *:*                                    10120
  UDP    0.0.0.0:53778          *:*                                    10120
  UDP    0.0.0.0:54202          18.245.31.65:443                       10120
  UDP    0.0.0.0:58337          18.173.205.119:443                     10120
  UDP    0.0.0.0:58711          *:*                                    10120
  UDP    0.0.0.0:58712          *:*                                    10120
  UDP    0.0.0.0:59430          *:*                                    4104
  UDP    0.0.0.0:59804          172.217.18.234:443                     10120
  UDP    0.0.0.0:61184          142.250.180.99:443                     10120
  UDP    0.0.0.0:63513          *:*                                    2756
  UDP    0.0.0.0:64128          *:*                                    10120
  UDP    0.0.0.0:64129          *:*                                    10120
  UDP    0.0.0.0:64905          *:*                                    2756
  UDP    0.0.0.0:64915          *:*                                    4168
  UDP    0.0.0.0:64971          *:*                                    10764
  UDP    127.0.0.1:1900         *:*                                    6484
  UDP    127.0.0.1:49664        127.0.0.1:49664                        4864
  UDP    127.0.0.1:49667        127.0.0.1:49668                        5476
  UDP    127.0.0.1:49668        127.0.0.1:49667                        5476
  UDP    127.0.0.1:64912        *:*                                    6484
  UDP    172.30.128.1:67        *:*                                    4168
  UDP    172.30.128.1:68        *:*                                    4168
  UDP    172.30.128.1:137       *:*                                    4
  UDP    172.30.128.1:138       *:*                                    4
  UDP    172.30.128.1:1900      *:*                                    6484
  UDP    172.30.128.1:2177      *:*                                    17688
  UDP    172.30.128.1:5353      *:*                                    5612
  UDP    172.30.128.1:64913     *:*                                    6484
  UDP    172.31.144.1:137       *:*                                    4
  UDP    172.31.144.1:138       *:*                                    4
  UDP    172.31.144.1:1900      *:*                                    6484
  UDP    172.31.144.1:2177      *:*                                    17688
  UDP    172.31.144.1:5353      *:*                                    5612
  UDP    172.31.144.1:64914     *:*                                    6484
  UDP    192.168.1.195:137      *:*                                    4
  UDP    192.168.1.195:138      *:*                                    4
  UDP    192.168.1.195:1900     *:*                                    6484
  UDP    192.168.1.195:2177     *:*                                    17688
  UDP    192.168.1.195:5353     *:*                                    5612
  UDP    192.168.1.195:64911    *:*                                    6484
  UDP    192.168.50.130:137     *:*                                    4
  UDP    192.168.50.130:138     *:*                                    4
  UDP    192.168.50.130:1900    *:*                                    6484
  UDP    192.168.50.130:64910   *:*                                    6484
  UDP    [::]:500               *:*                                    5864
  UDP    [::]:3702              *:*                                    4104
  UDP    [::]:3702              *:*                                    4104
  UDP    [::]:3702              *:*                                    10764
  UDP    [::]:3702              *:*                                    10764
  UDP    [::]:4500              *:*                                    5864
  UDP    [::]:5353              *:*                                    10120
  UDP    [::]:5353              *:*                                    15156
  UDP    [::]:5353              *:*                                    15156
  UDP    [::]:5353              *:*                                    2756
  UDP    [::]:5353              *:*                                    10120
  UDP    [::]:5353              *:*                                    15156
  UDP    [::]:5355              *:*                                    2756
  UDP    [::]:49666             *:*                                    5612
  UDP    [::]:53183             *:*                                    4168
  UDP    [::]:53778             *:*                                    10120
  UDP    [::]:58712             *:*                                    10120
  UDP    [::]:59431             *:*                                    4104
  UDP    [::]:63513             *:*                                    2756
  UDP    [::]:64129             *:*                                    10120
  UDP    [::]:64905             *:*                                    2756
  UDP    [::]:64916             *:*                                    4168
  UDP    [::]:64972             *:*                                    10764
  UDP    [::1]:1900             *:*                                    6484
  UDP    [::1]:5353             *:*                                    5612
  UDP    [::1]:64907            *:*                                    6484
  UDP    [fe80::68e7:dace:76bd:6f25%15]:1900  *:*                                    6484
  UDP    [fe80::68e7:dace:76bd:6f25%15]:2177  *:*                                    17688
  UDP    [fe80::68e7:dace:76bd:6f25%15]:64906  *:*                                    6484
  UDP    [fe80::9d64:7e86:655:7190%45]:1900  *:*                                    6484
  UDP    [fe80::9d64:7e86:655:7190%45]:2177  *:*                                    17688
  UDP    [fe80::9d64:7e86:655:7190%45]:64908  *:*                                    6484
  UDP    [fe80::a77b:7f22:6324:b103%56]:1900  *:*                                    6484
  UDP    [fe80::a77b:7f22:6324:b103%56]:2177  *:*                                    17688
  UDP    [fe80::a77b:7f22:6324:b103%56]:64909  *:*                                    6484
